year,sector,subsector,electricity_consumption_gwh
2018,Commercial-Related,Other Commercial-Related,4860.08
2018,Transport-Related,Transport-Related,2943.62
2018,Households,Households,7221.43
2018,Others,Others,270.7036482
2019,Industry-Related,Manufacturing,19422.35
2019,Industry-Related,Construction,395.1613056
2019,Industry-Related,Utilities,1573.64
2019,Industry-Related,Other Industry-Related,53.29794972
2019,Commercial-Related,Wholesale and Retail Trade,2265.49
2019,Commercial-Related,Accomodation and Food Services,1523.35
2019,Commercial-Related,Information and Communications,2491.81
2019,Commercial-Related,Financial and Insurance Activities,2379.33
2019,Commercial-Related,Real Estate Activities,4865.36
2019,Commercial-Related,"Professional, Scientific",807.3884718
2019,Commercial-Related,Other Commercial-Related,4982.24
2019,Transport-Related,Transport-Related,3020.93
2019,Households,Households,7688.01
2019,Others,Others,251.6702766
2020,Industry-Related,Manufacturing,11097.94908
2020,Industry-Related,Construction,211.6018457
2020,Industry-Related,Utilities,1685.917726
2020,Industry-Related,Other Industry-Related,29.41548407
2020,Commercial-Related,Wholesale and Retail Trade,1249.003823
2020,Commercial-Related,Accomodation and Food Services,753.0940057
2020,Commercial-Related,Information and Communications,1661.960142
2020,Commercial-Related,Financial and Insurance Activities,1281.910013
2020,Commercial-Related,Real Estate Activities,2514.581896
2020,Commercial-Related,"Professional, Scientific",448.1957188
2020,Commercial-Related,Other Commercial-Related,2558.787853
2020,Transport-Related,Transport-Related,1608.405576
2020,Households,Households,4861.229678
2020,Others,Others,129.8651031
